outcome_id,student_id,internship_id,application_status,application_date,selection_date,interview_rounds,final_decision,feedback_score,rejection_reason,success
OUT_000001,STU_00578,INT_00084,rejected,2025-09-23 02:49:05.036342,2025-10-20 02:49:05.036342,1,rejected,3.1,insufficient experience,0
OUT_000002,STU_01313,INT_00678,rejected,2025-09-23 02:48:03.821779,2025-10-16 02:48:03.821779,1,rejected,2.6,timing issues,0
OUT_000003,STU_03528,INT_00514,rejected,2025-09-23 02:50:31.670407,2025-10-22 02:50:31.670407,2,rejected,3.5,insufficient experience,0
OUT_000004,STU_02291,INT_00552,rejected,2025-09-23 02:48:53.096914,2025-10-01 02:48:53.096914,2,rejected,3.0,timing issues,0
OUT_000005,STU_03010,INT_00553,rejected,2025-09-23 02:45:47.286233,2025-10-04 02:45:47.286233,2,rejected,2.5,timing issues,0
OUT_000006,STU_01380,INT_00508,rejected,2025-09-23 02:46:34.771461,2025-10-21 02:46:34.771461,0,rejected,2.0,budget constraints,0
OUT_000007,STU_04264,INT_00628,rejected,2025-09-23 02:45:07.432636,2025-10-05 02:45:07.432636,2,rejected,2.1,insufficient experience,0
OUT_000008,STU_00325,INT_00717,rejected,2025-09-23 02:49:21.096939,2025-09-26 02:49:21.096939,1,rejected,3.1,timing issues,0
OUT_000009,STU_00176,INT_00381,rejected,2025-09-23 02:46:11.074161,2025-10-14 02:46:11.074161,2,rejected,3.3,skills mismatch,0
OUT_000010,STU_02981,INT_00763,rejected,2025-09-23 02:47:19.374295,2025-10-16 02:47:19.374295,1,rejected,2.8,timing issues,0
OUT_000011,STU_02606,INT_00442,rejected,2025-09-23 02:48:11.533480,2025-10-02 02:48:11.533480,0,rejected,2.7,timing issues,0
OUT_000012,STU_03993,INT_00163,rejected,2025-09-23 02:49:54.099059,2025-10-18 02:49:54.099059,1,rejected,3.7,budget constraints,0
OUT_000013,STU_01266,INT_00071,rejected,2025-09-23 02:46:45.954587,2025-09-30 02:46:45.954587,2,rejected,2.8,skills mismatch,0
OUT_000014,STU_01767,INT_00626,rejected,2025-09-23 02:47:59.013973,2025-10-09 02:47:59.013973,2,rejected,3.2,insufficient experience,0
OUT_000015,STU_02583,INT_00210,rejected,2025-09-23 02:47:01.302925,2025-10-12 02:47:01.302925,0,rejected,2.6,budget constraints,0
OUT_000016,STU_03452,INT_00748,rejected,2025-09-23 02:45:24.564099,2025-10-08 02:45:24.564099,0,rejected,2.2,interview performance,0
OUT_000017,STU_04490,INT_00311,rejected,2025-09-23 02:45:11.482134,2025-10-07 02:45:11.482134,2,rejected,3.5,budget constraints,0
OUT_000018,STU_00012,INT_00769,rejected,2025-09-23 02:49:43.032101,2025-10-18 02:49:43.032101,1,rejected,2.7,technical skills gap,0
OUT_000019,STU_02076,INT_00046,rejected,2025-09-23 02:47:37.048803,2025-09-28 02:47:37.048803,0,rejected,3.2,academic performance,0
OUT_000020,STU_03189,INT_00890,rejected,2025-09-23 02:45:43.219712,2025-10-17 02:45:43.219712,2,rejected,2.1,cultural fit,0
OUT_000021,STU_01615,INT_00151,rejected,2025-09-23 02:47:11.359027,2025-10-10 02:47:11.359027,2,rejected,2.8,cultural fit,0
OUT_000022,STU_00116,INT_00308,rejected,2025-09-23 02:50:19.042528,2025-10-22 02:50:19.042528,0,rejected,3.2,cultural fit,0
OUT_000023,STU_00917,INT_00342,rejected,2025-09-23 02:47:00.766552,2025-10-07 02:47:00.766552,2,rejected,2.2,technical skills gap,0
OUT_000024,STU_03720,INT_00621,rejected,2025-09-23 02:46:31.471280,2025-09-28 02:46:31.471280,0,rejected,3.0,cultural fit,0
OUT_000025,STU_02023,INT_00242,rejected,2025-09-23 02:50:05.843096,2025-10-01 02:50:05.843096,1,rejected,3.8,budget constraints,0
OUT_000026,STU_00531,INT_00162,rejected,2025-09-23 02:45:37.558157,2025-10-19 02:45:37.558157,1,rejected,2.0,cultural fit,0
OUT_000027,STU_04446,INT_00912,rejected,2025-09-23 02:49:54.822399,2025-10-12 02:49:54.822399,2,rejected,2.7,insufficient experience,0
OUT_000028,STU_01806,INT_00038,rejected,2025-09-23 02:50:22.522294,2025-10-04 02:50:22.522294,2,rejected,2.3,timing issues,0
OUT_000029,STU_00939,INT_00990,rejected,2025-09-23 02:45:18.020236,2025-10-02 02:45:18.020236,0,rejected,3.9,skills mismatch,0
OUT_000030,STU_03668,INT_00347,rejected,2025-09-23 02:45:11.926003,2025-10-09 02:45:11.926003,1,rejected,3.9,academic performance,0
OUT_000031,STU_01515,INT_00366,rejected,2025-09-23 02:49:23.216341,2025-09-28 02:49:23.216341,2,rejected,2.8,interview performance,0
OUT_000032,STU_01620,INT_00020,rejected,2025-09-23 02:46:42.608552,2025-09-28 02:46:42.608552,1,rejected,2.8,skills mismatch,0
OUT_000033,STU_04378,INT_00608,rejected,2025-09-23 02:46:51.386710,2025-10-02 02:46:51.386710,2,rejected,2.6,cultural fit,0
OUT_000034,STU_01994,INT_00602,rejected,2025-09-23 02:46:43.317907,2025-10-05 02:46:43.317907,2,rejected,3.6,interview performance,0
OUT_000035,STU_00959,INT_00849,rejected,2025-09-23 02:46:54.943228,2025-10-02 02:46:54.943228,2,rejected,2.4,insufficient experience,0
OUT_000036,STU_04574,INT_00317,rejected,2025-09-23 02:48:58.594914,2025-10-22 02:48:58.594914,0,rejected,3.0,position filled,0
OUT_000037,STU_02273,INT_00131,rejected,2025-09-23 02:46:49.945379,2025-10-22 02:46:49.945379,2,rejected,3.2,budget constraints,0
OUT_000038,STU_02388,INT_00601,rejected,2025-09-23 02:50:33.675369,2025-10-22 02:50:33.675369,1,rejected,3.1,timing issues,0
OUT_000039,STU_03440,INT_00415,rejected,2025-09-23 02:46:55.583233,2025-10-08 02:46:55.583233,1,rejected,3.8,interview performance,0
OUT_000040,STU_00460,INT_00524,rejected,2025-09-23 02:48:57.622891,2025-10-20 02:48:57.622891,1,rejected,3.8,budget constraints,0
OUT_000041,STU_02773,INT_00748,rejected,2025-09-23 02:46:22.733449,2025-10-13 02:46:22.733449,0,rejected,2.5,cultural fit,0
OUT_000042,STU_04624,INT_00143,rejected,2025-09-23 02:49:20.763636,2025-09-28 02:49:20.763636,1,rejected,2.5,technical skills gap,0
OUT_000043,STU_03192,INT_00027,rejected,2025-09-23 02:49:31.628764,2025-10-03 02:49:31.628764,0,rejected,2.5,budget constraints,0
OUT_000044,STU_02591,INT_00580,rejected,2025-09-23 02:45:57.301111,2025-10-14 02:45:57.301111,0,rejected,3.6,cultural fit,0
OUT_000045,STU_02019,INT_00595,rejected,2025-09-23 02:50:20.721215,2025-09-29 02:50:20.721215,0,rejected,3.9,timing issues,0
OUT_000046,STU_01222,INT_00055,rejected,2025-09-23 02:50:38.916509,2025-10-02 02:50:38.916509,2,rejected,2.6,position filled,0
OUT_000047,STU_01256,INT_00353,rejected,2025-09-23 02:44:45.301275,2025-10-12 02:44:45.301275,2,rejected,3.7,position filled,0
OUT_000048,STU_02559,INT_00994,rejected,2025-09-23 02:47:31.225376,2025-10-07 02:47:31.225376,0,rejected,2.4,position filled,0
OUT_000049,STU_04666,INT_00206,rejected,2025-09-23 02:45:28.135322,2025-10-17 02:45:28.135322,0,rejected,3.5,budget constraints,0
OUT_000050,STU_00411,INT_00558,rejected,2025-09-23 02:50:12.425573,2025-10-06 02:50:12.425573,2,rejected,3.3,academic performance,0
OUT_000051,STU_03502,INT_00970,rejected,2025-09-23 02:46:25.615592,2025-10-03 02:46:25.615592,0,rejected,2.2,timing issues,0
OUT_000052,STU_00013,INT_00123,rejected,2025-09-23 02:45:29.011997,2025-09-29 02:45:29.011997,1,rejected,2.5,interview performance,0
OUT_000053,STU_02399,INT_00730,rejected,2025-09-23 02:45:51.117553,2025-10-12 02:45:51.117553,1,rejected,3.3,insufficient experience,0
OUT_000054,STU_03744,INT_00121,rejected,2025-09-23 02:48:04.964959,2025-10-03 02:48:04.964959,0,rejected,2.9,timing issues,0
OUT_000055,STU_00396,INT_00767,rejected,2025-09-23 02:50:37.526425,2025-10-16 02:50:37.526425,1,rejected,3.0,cultural fit,0
OUT_000056,STU_01270,INT_00334,rejected,2025-09-23 02:49:35.819837,2025-10-04 02:49:35.819837,0,rejected,4.0,academic performance,0
OUT_000057,STU_00056,INT_00976,rejected,2025-09-23 02:46:46.346002,2025-10-08 02:46:46.346002,0,rejected,3.9,cultural fit,0
OUT_000058,STU_01852,INT_00014,rejected,2025-09-23 02:45:21.715867,2025-10-07 02:45:21.715867,2,rejected,3.1,timing issues,0
OUT_000059,STU_01856,INT_00888,rejected,2025-09-23 02:44:44.997264,2025-10-03 02:44:44.997264,0,rejected,3.7,interview performance,0
OUT_000060,STU_00654,INT_00414,rejected,2025-09-23 02:48:16.223584,2025-09-30 02:48:16.223584,2,rejected,3.0,position filled,0
OUT_000061,STU_00351,INT_00290,rejected,2025-09-23 02:50:38.200269,2025-09-28 02:50:38.200269,0,rejected,3.6,budget constraints,0
OUT_000062,STU_02838,INT_00422,rejected,2025-09-23 02:47:47.428579,2025-10-20 02:47:47.428579,1,rejected,2.5,academic performance,0
OUT_000063,STU_02088,INT_00227,rejected,2025-09-23 02:45:03.365402,2025-10-01 02:45:03.365402,0,rejected,2.5,timing issues,0
OUT_000064,STU_03955,INT_00373,rejected,2025-09-23 02:50:29.866844,2025-10-22 02:50:29.866844,0,rejected,4.0,academic performance,0
OUT_000065,STU_03428,INT_00823,rejected,2025-09-23 02:50:33.940525,2025-10-13 02:50:33.940525,0,rejected,3.1,cultural fit,0
OUT_000066,STU_02189,INT_00952,rejected,2025-09-23 02:50:43.496317,2025-09-26 02:50:43.496317,1,rejected,3.5,insufficient experience,0
OUT_000067,STU_01751,INT_00270,rejected,2025-09-23 02:45:01.226998,2025-09-27 02:45:01.226998,1,rejected,2.6,position filled,0
OUT_000068,STU_02462,INT_00810,rejected,2025-09-23 02:45:42.442381,2025-10-07 02:45:42.442381,2,rejected,4.0,insufficient experience,0
OUT_000069,STU_04143,INT_00315,rejected,2025-09-23 02:49:17.153328,2025-10-11 02:49:17.153328,1,rejected,2.1,budget constraints,0
OUT_000070,STU_00568,INT_00906,rejected,2025-09-23 02:47:04.771004,2025-10-20 02:47:04.771004,2,rejected,3.9,interview performance,0
OUT_000071,STU_01139,INT_00097,rejected,2025-09-23 02:46:26.169684,2025-10-21 02:46:26.169684,2,rejected,2.7,insufficient experience,0
OUT_000072,STU_04314,INT_00842,rejected,2025-09-23 02:45:53.991446,2025-10-10 02:45:53.991446,0,rejected,2.4,insufficient experience,0
OUT_000073,STU_03364,INT_00655,rejected,2025-09-23 02:44:53.304926,2025-10-15 02:44:53.304926,0,rejected,3.8,cultural fit,0
OUT_000074,STU_03768,INT_00207,rejected,2025-09-23 02:48:14.975671,2025-10-15 02:48:14.975671,1,rejected,2.6,budget constraints,0
OUT_000075,STU_00831,INT_00071,rejected,2025-09-23 02:50:09.629198,2025-09-27 02:50:09.629198,2,rejected,3.4,cultural fit,0
OUT_000076,STU_00443,INT_00852,rejected,2025-09-23 02:45:29.591071,2025-10-21 02:45:29.591071,1,rejected,3.7,skills mismatch,0
OUT_000077,STU_02550,INT_00143,rejected,2025-09-23 02:50:35.845688,2025-10-16 02:50:35.845688,1,rejected,3.4,insufficient experience,0
OUT_000078,STU_02347,INT_00700,rejected,2025-09-23 02:48:10.096978,2025-10-17 02:48:10.096978,2,rejected,3.0,timing issues,0
OUT_000079,STU_01403,INT_00489,rejected,2025-09-23 02:47:19.662127,2025-10-06 02:47:19.662127,1,rejected,3.3,insufficient experience,0
OUT_000080,STU_00236,INT_00653,rejected,2025-09-23 02:47:28.867870,2025-10-08 02:47:28.867870,0,rejected,3.2,budget constraints,0
OUT_000081,STU_02660,INT_00480,rejected,2025-09-23 02:45:32.079475,2025-10-16 02:45:32.079475,1,rejected,2.0,position filled,0
OUT_000082,STU_00451,INT_00947,rejected,2025-09-23 02:45:43.447884,2025-10-20 02:45:43.447884,0,rejected,3.2,insufficient experience,0
OUT_000083,STU_01163,INT_00785,rejected,2025-09-23 02:44:55.701389,2025-10-12 02:44:55.701389,0,rejected,2.2,skills mismatch,0
OUT_000084,STU_01368,INT_00722,rejected,2025-09-23 02:47:26.991915,2025-10-16 02:47:26.991915,2,rejected,3.1,budget constraints,0
OUT_000085,STU_00730,INT_00218,rejected,2025-09-23 02:46:34.701812,2025-10-16 02:46:34.701812,1,rejected,2.6,position filled,0
OUT_000086,STU_03032,INT_00394,rejected,2025-09-23 02:45:04.715853,2025-10-11 02:45:04.715853,1,rejected,2.9,technical skills gap,0
OUT_000087,STU_02400,INT_00342,rejected,2025-09-23 02:50:38.608409,2025-10-14 02:50:38.608409,0,rejected,3.5,position filled,0
OUT_000088,STU_01795,INT_00589,rejected,2025-09-23 02:49:37.911043,2025-10-03 02:49:37.911043,0,rejected,2.6,insufficient experience,0
OUT_000089,STU_04585,INT_00927,rejected,2025-09-23 02:49:03.536310,2025-09-29 02:49:03.536310,1,rejected,2.5,position filled,0
OUT_000090,STU_00809,INT_00445,rejected,2025-09-23 02:47:20.285321,2025-10-03 02:47:20.285321,1,rejected,3.5,academic performance,0
OUT_000091,STU_03225,INT_00966,rejected,2025-09-23 02:48:03.739343,2025-10-18 02:48:03.739343,1,rejected,2.8,position filled,0
OUT_000092,STU_01200,INT_00334,rejected,2025-09-23 02:46:31.742446,2025-10-20 02:46:31.742446,1,rejected,2.5,insufficient experience,0
OUT_000093,STU_04371,INT_00865,rejected,2025-09-23 02:45:34.668935,2025-09-30 02:45:34.668935,2,rejected,4.0,skills mismatch,0
OUT_000094,STU_03690,INT_00196,rejected,2025-09-23 02:48:09.464244,2025-09-28 02:48:09.464244,2,rejected,3.1,position filled,0
OUT_000095,STU_03797,INT_00260,rejected,2025-09-23 02:46:30.659842,2025-10-18 02:46:30.659842,0,rejected,3.1,position filled,0
OUT_000096,STU_01695,INT_00587,rejected,2025-09-23 02:44:50.506226,2025-10-04 02:44:50.506226,0,rejected,2.7,position filled,0
OUT_000097,STU_02004,INT_00409,rejected,2025-09-23 02:48:45.765211,2025-10-14 02:48:45.765211,2,rejected,2.2,skills mismatch,0
OUT_000098,STU_01069,INT_00296,rejected,2025-09-23 02:46:17.320353,2025-10-14 02:46:17.320353,0,rejected,3.8,skills mismatch,0
OUT_000099,STU_01527,INT_00756,rejected,2025-09-23 02:48:56.571892,2025-10-20 02:48:56.571892,1,rejected,3.6,academic performance,0
OUT_000100,STU_04365,INT_00636,rejected,2025-09-23 02:49:13.759748,2025-10-17 02:49:13.759748,2,rejected,2.8,insufficient experience,0
OUT_000101,STU_01389,INT_00276,rejected,2025-09-23 02:50:30.893708,2025-10-04 02:50:30.893708,0,rejected,3.4,cultural fit,0
OUT_000102,STU_01613,INT_00455,rejected,2025-09-23 02:48:55.957534,2025-09-29 02:48:55.957534,1,rejected,2.1,academic performance,0
OUT_000103,STU_01723,INT_00779,rejected,2025-09-23 02:46:33.983535,2025-10-01 02:46:33.983535,0,rejected,2.5,academic performance,0
OUT_000104,STU_03319,INT_00644,rejected,2025-09-23 02:48:30.913241,2025-10-15 02:48:30.913241,1,rejected,2.2,academic performance,0
OUT_000105,STU_01083,INT_00266,rejected,2025-09-23 02:46:42.500050,2025-10-19 02:46:42.500050,0,rejected,2.4,budget constraints,0
OUT_000106,STU_01816,INT_00226,rejected,2025-09-23 02:44:50.579981,2025-10-05 02:44:50.579981,2,rejected,3.7,academic performance,0
OUT_000107,STU_00717,INT_00993,rejected,2025-09-23 02:46:13.712279,2025-10-22 02:46:13.712279,2,rejected,2.7,budget constraints,0
OUT_000108,STU_03846,INT_00061,rejected,2025-09-23 02:46:24.496677,2025-10-12 02:46:24.496677,0,rejected,2.2,insufficient experience,0
OUT_000109,STU_04371,INT_00853,rejected,2025-09-23 02:44:46.898730,2025-10-03 02:44:46.898730,0,rejected,3.0,timing issues,0
OUT_000110,STU_02707,INT_00528,rejected,2025-09-23 02:49:39.781279,2025-10-11 02:49:39.781279,0,rejected,3.6,insufficient experience,0
OUT_000111,STU_04748,INT_00006,rejected,2025-09-23 02:50:10.839806,2025-09-28 02:50:10.839806,0,rejected,3.1,skills mismatch,0
OUT_000112,STU_00666,INT_00010,rejected,2025-09-23 02:50:28.019132,2025-10-15 02:50:28.019132,1,rejected,2.6,cultural fit,0
OUT_000113,STU_04645,INT_00287,rejected,2025-09-23 02:49:31.236352,2025-10-19 02:49:31.236352,1,rejected,2.4,timing issues,0
OUT_000114,STU_03644,INT_00083,rejected,2025-09-23 02:49:05.977607,2025-10-09 02:49:05.977607,1,rejected,3.5,cultural fit,0
OUT_000115,STU_01477,INT_00561,rejected,2025-09-23 02:47:18.349225,2025-09-29 02:47:18.349225,2,rejected,2.6,insufficient experience,0
OUT_000116,STU_02476,INT_00382,rejected,2025-09-23 02:48:42.520852,2025-10-15 02:48:42.520852,1,rejected,3.1,interview performance,0
OUT_000117,STU_01574,INT_00494,rejected,2025-09-23 02:46:22.132245,2025-10-17 02:46:22.132245,1,rejected,3.2,insufficient experience,0
OUT_000118,STU_02174,INT_00044,rejected,2025-09-23 02:47:51.481751,2025-10-12 02:47:51.481751,1,rejected,3.4,interview performance,0
OUT_000119,STU_04290,INT_00603,rejected,2025-09-23 02:50:27.980811,2025-09-27 02:50:27.980811,0,rejected,2.1,cultural fit,0
OUT_000120,STU_02353,INT_00184,rejected,2025-09-23 02:50:02.261811,2025-10-06 02:50:02.261811,1,rejected,3.3,technical skills gap,0
OUT_000121,STU_04360,INT_00841,rejected,2025-09-23 02:46:11.933166,2025-10-07 02:46:11.933166,2,rejected,3.6,interview performance,0
OUT_000122,STU_04342,INT_00916,rejected,2025-09-23 02:49:08.123072,2025-10-21 02:49:08.123072,0,rejected,3.5,interview performance,0
OUT_000123,STU_04394,INT_00537,rejected,2025-09-23 02:48:55.553667,2025-10-22 02:48:55.553667,1,rejected,3.6,academic performance,0
OUT_000124,STU_00564,INT_00588,rejected,2025-09-23 02:47:59.039118,2025-09-26 02:47:59.039118,0,rejected,2.3,academic performance,0
OUT_000125,STU_03865,INT_00479,rejected,2025-09-23 02:46:26.298708,2025-09-28 02:46:26.298708,1,rejected,3.0,academic performance,0
OUT_000126,STU_03977,INT_00342,rejected,2025-09-23 02:45:05.661969,2025-09-27 02:45:05.661969,1,rejected,3.9,technical skills gap,0
OUT_000127,STU_03242,INT_00774,rejected,2025-09-23 02:45:11.266400,2025-10-12 02:45:11.266400,0,rejected,3.2,budget constraints,0
OUT_000128,STU_01780,INT_00589,rejected,2025-09-23 02:48:57.994975,2025-09-30 02:48:57.994975,1,rejected,3.0,budget constraints,0
OUT_000129,STU_02801,INT_00949,rejected,2025-09-23 02:48:37.370337,2025-10-09 02:48:37.370337,1,rejected,3.5,skills mismatch,0
OUT_000130,STU_03818,INT_00156,rejected,2025-09-23 02:45:00.395196,2025-10-03 02:45:00.395196,0,rejected,4.0,interview performance,0
OUT_000131,STU_03749,INT_00327,rejected,2025-09-23 02:48:28.705998,2025-10-05 02:48:28.705998,2,rejected,2.9,skills mismatch,0
OUT_000132,STU_01460,INT_00485,rejected,2025-09-23 02:48:21.709455,2025-09-26 02:48:21.709455,1,rejected,2.2,insufficient experience,0
OUT_000133,STU_00963,INT_00836,rejected,2025-09-23 02:48:26.236510,2025-10-11 02:48:26.236510,1,rejected,3.8,technical skills gap,0
OUT_000134,STU_02362,INT_00628,rejected,2025-09-23 02:48:21.147563,2025-09-29 02:48:21.147563,0,rejected,2.2,skills mismatch,0
OUT_000135,STU_02705,INT_00881,rejected,2025-09-23 02:46:39.523845,2025-09-28 02:46:39.523845,1,rejected,3.5,technical skills gap,0
OUT_000136,STU_03013,INT_00161,rejected,2025-09-23 02:45:02.970403,2025-10-01 02:45:02.970403,0,rejected,4.0,technical skills gap,0
OUT_000137,STU_01747,INT_00887,rejected,2025-09-23 02:49:11.044303,2025-10-19 02:49:11.044303,1,rejected,2.7,skills mismatch,0
OUT_000138,STU_02279,INT_00202,rejected,2025-09-23 02:46:07.083641,2025-10-03 02:46:07.083641,0,rejected,3.7,academic performance,0
OUT_000139,STU_01830,INT_00078,rejected,2025-09-23 02:50:04.113150,2025-10-08 02:50:04.113150,0,rejected,2.6,insufficient experience,0
OUT_000140,STU_00958,INT_00604,rejected,2025-09-23 02:45:23.301595,2025-10-05 02:45:23.301595,0,rejected,3.7,position filled,0
OUT_000141,STU_00064,INT_00972,rejected,2025-09-23 02:49:01.862992,2025-10-03 02:49:01.862992,0,rejected,3.0,position filled,0
OUT_000142,STU_01054,INT_00044,rejected,2025-09-23 02:49:41.457519,2025-09-27 02:49:41.457519,1,rejected,3.1,budget constraints,0
OUT_000143,STU_04108,INT_00801,rejected,2025-09-23 02:47:58.736567,2025-10-18 02:47:58.736567,0,rejected,2.1,academic performance,0
OUT_000144,STU_03264,INT_00839,rejected,2025-09-23 02:47:50.885695,2025-10-08 02:47:50.885695,1,rejected,4.0,position filled,0
