interaction_id,student_id,internship_id,interaction_type,rating,timestamp
INTER_00001,STU_0103,INT_0180,apply,5,2024-01-01 00:00:00.000000000
INTER_00002,STU_0189,INT_0021,view,2,2024-01-01 04:22:55.887943971
INTER_00003,STU_0331,INT_0088,view,2,2024-01-01 08:45:51.775887943
INTER_00004,STU_0131,INT_0150,view,5,2024-01-01 13:08:47.663831915
INTER_00005,STU_0414,INT_0038,view,5,2024-01-01 17:31:43.551775887
INTER_00006,STU_0161,INT_0058,click,4,2024-01-01 21:54:39.439719859
INTER_00007,STU_0049,INT_0059,view,1,2024-01-02 02:17:35.327663831
INTER_00008,STU_0188,INT_0015,click,5,2024-01-02 06:40:31.215607803
INTER_00009,STU_0051,INT_0108,click,4,2024-01-02 11:03:27.103551775
INTER_00010,STU_0131,INT_0051,click,4,2024-01-02 15:26:22.991495747
INTER_00011,STU_0274,INT_0132,apply,4,2024-01-02 19:49:18.879439719
INTER_00012,STU_0265,INT_0090,view,4,2024-01-03 00:12:14.767383691
INTER_00013,STU_0367,INT_0188,view,4,2024-01-03 04:35:10.655327663
INTER_00014,STU_0431,INT_0035,apply,3,2024-01-03 08:58:06.543271635
INTER_00015,STU_0360,INT_0132,view,4,2024-01-03 13:21:02.431215607
INTER_00016,STU_0106,INT_0004,view,5,2024-01-03 17:43:58.319159579
INTER_00017,STU_0218,INT_0044,apply,5,2024-01-03 22:06:54.207103551
INTER_00018,STU_0270,INT_0095,apply,1,2024-01-04 02:29:50.095047523
INTER_00019,STU_0215,INT_0190,view,3,2024-01-04 06:52:45.982991495
INTER_00020,STU_0338,INT_0111,save,3,2024-01-04 11:15:41.870935467
INTER_00021,STU_0252,INT_0188,click,2,2024-01-04 15:38:37.758879439
INTER_00022,STU_0015,INT_0045,view,5,2024-01-04 20:01:33.646823411
INTER_00023,STU_0344,INT_0129,view,1,2024-01-05 00:24:29.534767383
INTER_00024,STU_0139,INT_0081,save,5,2024-01-05 04:47:25.422711355
INTER_00025,STU_0379,INT_0005,apply,4,2024-01-05 09:10:21.310655327
INTER_00026,STU_0028,INT_0135,save,4,2024-01-05 13:33:17.198599299
INTER_00027,STU_0033,INT_0048,view,4,2024-01-05 17:56:13.086543271
INTER_00028,STU_0293,INT_0099,click,3,2024-01-05 22:19:08.974487243
INTER_00029,STU_0035,INT_0193,view,5,2024-01-06 02:42:04.862431215
INTER_00030,STU_0131,INT_0001,save,3,2024-01-06 07:05:00.750375187
INTER_00031,STU_0398,INT_0103,view,5,2024-01-06 11:27:56.638319159
INTER_00032,STU_0346,INT_0042,click,3,2024-01-06 15:50:52.526263131
INTER_00033,STU_0352,INT_0052,click,4,2024-01-06 20:13:48.414207103
INTER_00034,STU_0485,INT_0151,click,4,2024-01-07 00:36:44.302151075
INTER_00035,STU_0029,INT_0036,apply,4,2024-01-07 04:59:40.190095047
INTER_00036,STU_0243,INT_0086,save,4,2024-01-07 09:22:36.078039019
INTER_00037,STU_0062,INT_0185,view,4,2024-01-07 13:45:31.965982991
INTER_00038,STU_0108,INT_0044,click,5,2024-01-07 18:08:27.853926963
INTER_00039,STU_0128,INT_0092,view,5,2024-01-07 22:31:23.741870935
INTER_00040,STU_0385,INT_0121,click,1,2024-01-08 02:54:19.629814907
INTER_00041,STU_0461,INT_0003,view,4,2024-01-08 07:17:15.517758879
INTER_00042,STU_0137,INT_0062,view,2,2024-01-08 11:40:11.405702851
INTER_00043,STU_0172,INT_0152,apply,3,2024-01-08 16:03:07.293646823
INTER_00044,STU_0096,INT_0180,view,5,2024-01-08 20:26:03.181590795
INTER_00045,STU_0052,INT_0012,view,4,2024-01-09 00:48:59.069534767
INTER_00046,STU_0113,INT_0101,view,1,2024-01-09 05:11:54.957478739
INTER_00047,STU_0113,INT_0002,click,1,2024-01-09 09:34:50.845422711
INTER_00048,STU_0485,INT_0129,view,2,2024-01-09 13:57:46.733366683
INTER_00049,STU_0172,INT_0160,click,4,2024-01-09 18:20:42.621310655
INTER_00050,STU_0439,INT_0184,view,5,2024-01-09 22:43:38.509254627
INTER_00051,STU_0280,INT_0069,click,4,2024-01-10 03:06:34.397198599
INTER_00052,STU_0395,INT_0144,save,3,2024-01-10 07:29:30.285142571
INTER_00053,STU_0326,INT_0093,save,3,2024-01-10 11:52:26.173086543
INTER_00054,STU_0420,INT_0147,save,5,2024-01-10 16:15:22.061030515
INTER_00055,STU_0148,INT_0096,view,5,2024-01-10 20:38:17.948974487
INTER_00056,STU_0424,INT_0128,click,5,2024-01-11 01:01:13.836918459
INTER_00057,STU_0267,INT_0185,view,5,2024-01-11 05:24:09.724862431
INTER_00058,STU_0478,INT_0042,view,4,2024-01-11 09:47:05.612806403
INTER_00059,STU_0346,INT_0112,click,4,2024-01-11 14:10:01.500750375
INTER_00060,STU_0002,INT_0129,view,5,2024-01-11 18:32:57.388694347
INTER_00061,STU_0037,INT_0160,click,3,2024-01-11 22:55:53.276638319
INTER_00062,STU_0099,INT_0147,save,5,2024-01-12 03:18:49.164582291
INTER_00063,STU_0152,INT_0054,save,4,2024-01-12 07:41:45.052526263
INTER_00064,STU_0075,INT_0113,view,5,2024-01-12 12:04:40.940470235
INTER_00065,STU_0340,INT_0112,view,4,2024-01-12 16:27:36.828414207
INTER_00066,STU_0349,INT_0146,view,4,2024-01-12 20:50:32.716358179
INTER_00067,STU_0310,INT_0163,click,3,2024-01-13 01:13:28.604302151
INTER_00068,STU_0161,INT_0068,view,3,2024-01-13 05:36:24.492246123
INTER_00069,STU_0404,INT_0128,save,5,2024-01-13 09:59:20.380190095
