internship_id,title,company,domain,description,required_skills,location,duration,stipend,is_active,application_deadline,is_accepting_applications,employee_count,headquarters,industry
INT_0001,internship 1,company 1,web development,description for internship 1,"node.js, node.js, sql",pune,3 months,30000,True,2025-09-30,True,5000,Bangalore,Technology
INT_0002,internship 2,company 2,mobile apps,description for internship 2,"python, python",chennai,6 months,15000,True,2025-09-07,False,25,Mumbai,Fintech
INT_0003,internship 3,company 3,ai/ml,description for internship 3,"sql, node.js, react",chennai,6 months,15000,True,2025-10-03,True,150,Hyderabad,Data Analytics
INT_0004,internship 4,company 4,mobile apps,description for internship 4,"machine learning, machine learning",delhi,2 months,15000,True,2025-11-13,True,800,Pune,Cloud Computing
INT_0005,internship 5,company 5,mobile apps,description for internship 5,"machine learning, sql",bangalore,3 months,30000,True,2025-08-29,False,2000,Bangalore,Artificial Intelligence
INT_0006,internship 6,company 6,software development,description for internship 6,"sql, sql, machine learning",bangalore,2 months,30000,True,2025-09-22,True,75,Chennai,Mobile Development
INT_0007,internship 7,company 7,ai/ml,description for internship 7,"machine learning, python, python",bangalore,6 months,25000,True,2025-09-23,True,300,Delhi,Web Development
INT_0008,internship 8,company 8,ai/ml,description for internship 8,"java, python, sql",hyderabad,2 months,0,True,2025-09-11,False,45,Mumbai,Blockchain
INT_0009,internship 9,company 9,ai/ml,description for internship 9,"python, python, java",mumbai,2 months,25000,True,2025-09-23,True,120,Bangalore,Cybersecurity
INT_0010,internship 10,company 10,mobile apps,description for internship 10,"node.js, java",hyderabad,3 months,25000,False,2025-09-26,True,90,Pune,Internet of Things
INT_0011,internship 11,company 11,web development,description for internship 11,"machine learning, java",mumbai,3 months,30000,True,2025-10-11,True,10000,Mumbai,Conglomerate
INT_0012,internship 12,company 12,ai/ml,description for internship 12,"python, machine learning, machine learning",bangalore,6 months,15000,True,2025-11-11,True,60,Delhi,Clean Technology
INT_0013,internship 13,company 13,mobile apps,description for internship 13,"java, python",bangalore,2 months,10000,True,2025-09-24,True,180,Bangalore,Healthcare Technology
INT_0014,internship 14,company 14,software development,description for internship 14,"node.js, machine learning, react",hyderabad,2 months,0,False,2025-09-27,True,250,Hyderabad,Education Technology
INT_0015,internship 15,company 15,web development,description for internship 15,"sql, python",hyderabad,2 months,30000,False,2025-10-09,True,400,Mumbai,Retail Technology
INT_0016,internship 16,company 16,software development,description for internship 16,"sql, sql",mumbai,6 months,15000,True,2025-10-30,True,18,Delhi,E-commerce
INT_0017,internship 17,company 17,web development,description for internship 17,"sql, machine learning, node.js",chennai,6 months,10000,True,2025-09-24,True,90,Pune,Consulting
INT_0018,internship 18,company 18,mobile apps,description for internship 18,"python, machine learning, sql",mumbai,3 months,10000,True,2025-09-23,True,625,Hyderabad,Consulting
INT_0019,internship 19,company 19,data science,description for internship 19,"machine learning, node.js",hyderabad,3 months,30000,True,2025-11-10,True,60,Chennai,Media
INT_0020,internship 20,company 20,web development,description for internship 20,"machine learning, node.js, sql",pune,3 months,20000,False,2025-09-14,False,119,Kolkata,Healthcare
INT_0021,internship 21,company 21,software development,description for internship 21,"node.js, python, sql",hyderabad,2 months,0,True,2025-09-02,False,416,Delhi,Manufacturing
INT_0022,internship 22,company 22,mobile apps,description for internship 22,"react, java",pune,2 months,10000,True,2025-09-03,False,563,Hyderabad,Technology
INT_0023,internship 23,company 23,web development,description for internship 23,"node.js, java, java",delhi,3 months,30000,True,2025-09-11,False,41,Pune,Automotive
INT_0024,internship 24,company 24,data science,description for internship 24,"sql, react, python",hyderabad,2 months,30000,True,2025-10-29,True,340,Hyderabad,E-commerce
INT_0025,internship 25,company 25,data science,description for internship 25,"python, machine learning, python",delhi,3 months,15000,True,2025-10-09,True,91,Mumbai,Real Estate
INT_0026,internship 26,company 26,ai/ml,description for internship 26,"react, machine learning, sql",chennai,6 months,20000,False,2025-09-11,False,22,Bangalore,Education
INT_0027,internship 27,company 27,ai/ml,description for internship 27,"python, machine learning",mumbai,3 months,0,False,2025-10-06,True,3142,Chennai,Healthcare
INT_0028,internship 28,company 28,software development,description for internship 28,"sql, node.js",pune,6 months,25000,True,2025-09-05,False,685,Kolkata,E-commerce
INT_0029,internship 29,company 29,web development,description for internship 29,"node.js, node.js",mumbai,2 months,15000,True,2025-11-10,True,612,Pune,E-commerce
INT_0030,internship 30,company 30,web development,description for internship 30,"node.js, node.js, react",delhi,3 months,10000,True,2025-09-23,True,2504,Pune,Education
INT_0031,internship 31,company 31,ai/ml,description for internship 31,"node.js, sql",pune,2 months,10000,True,2025-09-14,False,153,Mumbai,Consulting
INT_0032,internship 32,company 32,web development,description for internship 32,"java, react",mumbai,6 months,15000,True,2025-09-25,True,82,Mumbai,Fintech
INT_0033,internship 33,company 33,web development,description for internship 33,"python, machine learning, python",hyderabad,6 months,30000,True,2025-10-09,True,775,Chennai,Real Estate
INT_0034,internship 34,company 34,data science,description for internship 34,"machine learning, react",bangalore,6 months,10000,False,2025-09-28,True,31,Delhi,Media
INT_0035,internship 35,company 35,ai/ml,description for internship 35,"sql, machine learning, sql",delhi,2 months,20000,True,2025-09-30,True,917,Pune,Healthcare
INT_0036,internship 36,company 36,mobile apps,description for internship 36,"python, python, machine learning",mumbai,2 months,0,True,2025-09-19,False,158,Kolkata,Media
INT_0037,internship 37,company 37,ai/ml,description for internship 37,"node.js, react, node.js",delhi,2 months,20000,True,2025-11-08,True,177,Hyderabad,E-commerce
INT_0038,internship 38,company 38,mobile apps,description for internship 38,"node.js, sql",delhi,2 months,10000,True,2025-11-02,True,103,Bangalore,Consulting
INT_0039,internship 39,company 39,data science,description for internship 39,"python, react, react",pune,6 months,25000,True,2025-09-27,True,2963,Hyderabad,Manufacturing
INT_0040,internship 40,company 40,software development,description for internship 40,"node.js, react",pune,6 months,0,True,2025-10-01,True,407,Kolkata,Consulting
INT_0041,internship 41,company 41,web development,description for internship 41,"sql, machine learning",bangalore,3 months,0,True,2025-09-27,True,1808,Delhi,Automotive
