student_id,internship_id,rank,cf_score,title,company,domain,location,stipend
STU_0001,INT_0161,1,0.740624001851188,internship 161,company 161,ai/ml,mumbai,20000
STU_0001,INT_0127,2,0.7211490856909396,internship 127,company 127,mobile apps,hyderabad,10000
STU_0001,INT_0105,3,0.7056764943217666,internship 105,company 105,data science,mumbai,0
STU_0001,INT_0045,4,0.6364747461781572,internship 45,company 45,software development,chennai,30000
STU_0001,INT_0114,5,0.5982811167793851,internship 114,company 114,ai/ml,pune,15000
STU_0002,INT_0087,1,0.6557542272545326,internship 87,company 87,data science,chennai,30000
STU_0002,INT_0081,2,0.6306707040825377,internship 81,company 81,mobile apps,chennai,15000
STU_0002,INT_0077,3,0.6225790162405711,internship 77,company 77,data science,delhi,20000
STU_0002,INT_0113,4,0.6172036861167349,internship 113,company 113,mobile apps,hyderabad,30000
STU_0002,INT_0119,5,0.5228042562299998,internship 119,company 119,data science,pune,25000
STU_0003,INT_0007,1,0.7990249857634195,internship 7,company 7,ai/ml,bangalore,25000
STU_0003,INT_0105,2,0.7509983545885519,internship 105,company 105,data science,mumbai,0
STU_0003,INT_0050,3,0.6341524455281689,internship 50,company 50,web development,chennai,0
STU_0003,INT_0163,4,0.46332257539879207,internship 163,company 163,mobile apps,pune,15000
STU_0003,INT_0079,5,0.4610990053451707,internship 79,company 79,web development,mumbai,10000
STU_0004,INT_0013,1,0.9626905560659991,internship 13,company 13,mobile apps,bangalore,10000
STU_0004,INT_0015,2,0.9131921678567032,internship 15,company 15,web development,hyderabad,30000
STU_0004,INT_0028,3,0.900928341974758,internship 28,company 28,software development,pune,25000
STU_0004,INT_0173,4,0.8753602833108021,internship 173,company 173,software development,mumbai,15000
STU_0004,INT_0024,5,0.8564702372417297,internship 24,company 24,data science,hyderabad,30000
STU_0005,INT_0072,1,0.7528324052136677,internship 72,company 72,mobile apps,delhi,20000
STU_0005,INT_0079,2,0.7400899533239392,internship 79,company 79,web development,mumbai,10000
STU_0005,INT_0156,3,0.6110859137271872,internship 156,company 156,data science,delhi,20000
STU_0005,INT_0183,4,0.47094891246707415,internship 183,company 183,data science,hyderabad,0
STU_0005,INT_0023,5,0.4604351381137205,internship 23,company 23,web development,delhi,30000
STU_0006,INT_0144,1,0.8283613536450183,internship 144,company 144,web development,bangalore,30000
STU_0006,INT_0022,2,0.7568567639386053,internship 22,company 22,mobile apps,pune,10000
STU_0006,INT_0019,3,0.6212059264866078,internship 19,company 19,data science,hyderabad,30000
STU_0006,INT_0111,4,0.5867197808290507,internship 111,company 111,data science,delhi,0
STU_0006,INT_0017,5,0.5032943263759991,internship 17,company 17,web development,chennai,10000
STU_0007,INT_0146,1,0.6655973595749325,internship 146,company 146,web development,bangalore,10000
STU_0007,INT_0145,2,0.5385089003796464,internship 145,company 145,web development,mumbai,15000
STU_0007,INT_0030,3,0.5273100690730058,internship 30,company 30,web development,delhi,10000
STU_0007,INT_0080,4,0.4819408907221985,internship 80,company 80,web development,pune,10000
STU_0007,INT_0188,5,0.42424639619604815,internship 188,company 188,data science,pune,15000
STU_0008,INT_0129,1,0.553705750996033,internship 129,company 129,mobile apps,pune,0
STU_0008,INT_0075,2,0.5469463352566031,internship 75,company 75,mobile apps,mumbai,0
STU_0008,INT_0145,3,0.40339355716799113,internship 145,company 145,web development,mumbai,15000
STU_0008,INT_0104,4,0.400971734472862,internship 104,company 104,software development,mumbai,15000
STU_0008,INT_0087,5,0.389249185683633,internship 87,company 87,data science,chennai,30000
STU_0009,INT_0069,1,0.7870601797808603,internship 69,company 69,web development,pune,15000
STU_0009,INT_0189,2,0.7123263946562054,internship 189,company 189,data science,bangalore,20000
STU_0009,INT_0162,3,0.5345426234420543,internship 162,company 162,data science,pune,30000
STU_0009,INT_0195,4,0.5331262467164901,internship 195,company 195,web development,chennai,15000
STU_0009,INT_0010,5,0.5162256707064041,internship 10,company 10,mobile apps,hyderabad,25000
STU_0010,INT_0023,1,0.7235341535050143,internship 23,company 23,web development,delhi,30000
STU_0010,INT_0055,2,0.6622319927569985,internship 55,company 55,ai/ml,pune,30000
STU_0010,INT_0095,3,0.5204685326088081,internship 95,company 95,data science,mumbai,30000
STU_0010,INT_0128,4,0.4834878670480873,internship 128,company 128,web development,chennai,20000
STU_0010,INT_0137,5,0.45744048590142705,internship 137,company 137,web development,delhi,20000
STU_0011,INT_0035,1,0.8651868108248748,internship 35,company 35,ai/ml,delhi,20000
STU_0011,INT_0004,2,0.537093747761519,internship 4,company 4,mobile apps,delhi,15000
STU_0011,INT_0144,3,0.4866496310308027,internship 144,company 144,web development,bangalore,30000
STU_0011,INT_0051,4,0.4629679641375355,internship 51,company 51,web development,pune,20000
STU_0011,INT_0139,5,0.4291048152967505,internship 139,company 139,software development,pune,10000
STU_0012,INT_0119,1,0.9894988466164256,internship 119,company 119,data science,pune,25000
STU_0012,INT_0009,2,0.9569446801789274,internship 9,company 9,ai/ml,mumbai,25000
STU_0012,INT_0183,3,0.9543404127124655,internship 183,company 183,data science,hyderabad,0
STU_0012,INT_0046,4,0.9315693551203632,internship 46,company 46,data science,delhi,0
STU_0012,INT_0137,5,0.907575625251918,internship 137,company 137,web development,delhi,20000
STU_0013,INT_0022,1,0.8926676006747112,internship 22,company 22,mobile apps,pune,10000
STU_0013,INT_0158,2,0.7291726456224588,internship 158,company 158,mobile apps,delhi,10000
STU_0013,INT_0199,3,0.5606103923091271,internship 199,company 199,mobile apps,bangalore,10000
STU_0013,INT_0039,4,0.5393357849531955,internship 39,company 39,data science,pune,25000
STU_0013,INT_0071,5,0.4732547720878685,internship 71,company 71,data science,bangalore,25000
STU_0014,INT_0075,1,0.7570183883308623,internship 75,company 75,mobile apps,mumbai,0
STU_0014,INT_0007,2,0.4086956941092278,internship 7,company 7,ai/ml,bangalore,25000
STU_0014,INT_0064,3,0.4045726681038251,internship 64,company 64,software development,bangalore,10000
STU_0014,INT_0168,4,0.4014436278897431,internship 168,company 168,ai/ml,hyderabad,15000
STU_0014,INT_0163,5,0.3863453179220177,internship 163,company 163,mobile apps,pune,15000
STU_0015,INT_0146,1,0.8059472288972425,internship 146,company 146,web development,bangalore,10000
STU_0015,INT_0188,2,0.7746670206166284,internship 188,company 188,data science,pune,15000
STU_0015,INT_0052,3,0.673599265468001,internship 52,company 52,web development,pune,10000
STU_0015,INT_0171,4,0.6117545929671819,internship 171,company 171,data science,delhi,25000
STU_0015,INT_0010,5,0.5982571411578647,internship 10,company 10,mobile apps,hyderabad,25000
STU_0016,INT_0156,1,0.7880154901087686,internship 156,company 156,data science,delhi,20000
STU_0016,INT_0028,2,0.7053849456988052,internship 28,company 28,software development,pune,25000
STU_0016,INT_0078,3,0.5293852688631684,internship 78,company 78,web development,pune,15000
STU_0016,INT_0013,4,0.46955718673265084,internship 13,company 13,mobile apps,bangalore,10000
STU_0016,INT_0148,5,0.46728733275473855,internship 148,company 148,ai/ml,chennai,25000
STU_0017,INT_0011,1,0.791122274783332,internship 11,company 11,web development,mumbai,30000
STU_0017,INT_0177,2,0.6480790736258835,internship 177,company 177,ai/ml,chennai,15000
STU_0017,INT_0186,3,0.4766538440709153,internship 186,company 186,web development,delhi,20000
STU_0017,INT_0035,4,0.4609489888682624,internship 35,company 35,ai/ml,delhi,20000
STU_0017,INT_0062,5,0.4524217087265058,internship 62,company 62,web development,bangalore,30000
STU_0018,INT_0025,1,0.9398260864132897,internship 25,company 25,data science,delhi,15000
STU_0018,INT_0154,2,0.8740493064566053,internship 154,company 154,data science,bangalore,10000
STU_0018,INT_0196,3,0.8687766536203547,internship 196,company 196,ai/ml,mumbai,10000
STU_0018,INT_0131,4,0.781798290647933,internship 131,company 131,ai/ml,chennai,10000
STU_0018,INT_0091,5,0.6718066656533308,internship 91,company 91,ai/ml,hyderabad,20000
STU_0019,INT_0086,1,0.6345154566990778,internship 86,company 86,data science,delhi,30000
STU_0019,INT_0148,2,0.570564031983648,internship 148,company 148,ai/ml,chennai,25000
STU_0019,INT_0187,3,0.5633026899845345,internship 187,company 187,mobile apps,bangalore,15000
STU_0019,INT_0017,4,0.5247471891010878,internship 17,company 17,web development,chennai,10000
STU_0019,INT_0084,5,0.496299839798105,internship 84,company 84,mobile apps,hyderabad,25000
STU_0020,INT_0079,1,0.5491908628737543,internship 79,company 79,web development,mumbai,10000
STU_0020,INT_0157,2,0.513167238275594,internship 157,company 157,web development,chennai,30000
STU_0020,INT_0081,3,0.46918875149947886,internship 81,company 81,mobile apps,chennai,15000
STU_0020,INT_0064,4,0.4292568262245686,internship 64,company 64,software development,bangalore,10000
STU_0020,INT_0144,5,0.3964205135755414,internship 144,company 144,web development,bangalore,30000
STU_0021,INT_0153,1,0.9242941891493344,internship 153,company 153,data science,chennai,0
STU_0021,INT_0027,2,0.847085258787498,internship 27,company 27,ai/ml,mumbai,0
STU_0021,INT_0189,3,0.7270401238357735,internship 189,company 189,data science,bangalore,20000
STU_0021,INT_0126,4,0.6524820614441994,internship 126,company 126,web development,bangalore,25000
STU_0021,INT_0101,5,0.6283738564251141,internship 101,company 101,web development,hyderabad,30000
STU_0022,INT_0158,1,0.9532795336707847,internship 158,company 158,mobile apps,delhi,10000
STU_0022,INT_0037,2,0.8780535307247379,internship 37,company 37,ai/ml,delhi,20000
STU_0022,INT_0084,3,0.7966353169938065,internship 84,company 84,mobile apps,hyderabad,25000
STU_0022,INT_0109,4,0.6762191508569322,internship 109,company 109,ai/ml,pune,25000
STU_0022,INT_0010,5,0.5009383205608978,internship 10,company 10,mobile apps,hyderabad,25000
STU_0023,INT_0104,1,0.672098974067115,internship 104,company 104,software development,mumbai,15000
STU_0023,INT_0183,2,0.6327374195418453,internship 183,company 183,data science,hyderabad,0
STU_0023,INT_0079,3,0.5485476366263244,internship 79,company 79,web development,mumbai,10000
STU_0023,INT_0076,4,0.42347480751016087,internship 76,company 76,software development,delhi,25000
STU_0023,INT_0046,5,0.41823896231821633,internship 46,company 46,data science,delhi,0
STU_0024,INT_0186,1,0.585262185451348,internship 186,company 186,web development,delhi,20000
STU_0024,INT_0103,2,0.5075724974463641,internship 103,company 103,web development,chennai,10000
STU_0024,INT_0190,3,0.44361187081985776,internship 190,company 190,ai/ml,pune,15000
STU_0024,INT_0173,4,0.4423773373645583,internship 173,company 173,software development,mumbai,15000
STU_0024,INT_0084,5,0.41540334909885224,internship 84,company 84,mobile apps,hyderabad,25000
STU_0025,INT_0173,1,0.8695859152678742,internship 173,company 173,software development,mumbai,15000
STU_0025,INT_0148,2,0.8115411044091463,internship 148,company 148,ai/ml,chennai,25000
STU_0025,INT_0026,3,0.7125691056134993,internship 26,company 26,ai/ml,chennai,20000
STU_0025,INT_0191,4,0.4378715878374543,internship 191,company 191,software development,delhi,0
STU_0025,INT_0055,5,0.419876079383114,internship 55,company 55,ai/ml,pune,30000
STU_0026,INT_0085,1,0.8343170162203943,internship 85,company 85,data science,chennai,25000
STU_0026,INT_0145,2,0.7363642768135774,internship 145,company 145,web development,mumbai,15000
STU_0026,INT_0027,3,0.7232216684238236,internship 27,company 27,ai/ml,mumbai,0
STU_0026,INT_0094,4,0.45409462038127907,internship 94,company 94,ai/ml,pune,10000
STU_0026,INT_0166,5,0.42309890100056435,internship 166,company 166,software development,bangalore,25000
STU_0027,INT_0052,1,0.9213132342771526,internship 52,company 52,web development,pune,10000
STU_0027,INT_0186,2,0.7906146078818759,internship 186,company 186,web development,delhi,20000
STU_0027,INT_0156,3,0.555151274141773,internship 156,company 156,data science,delhi,20000
STU_0027,INT_0119,4,0.536115854761932,internship 119,company 119,data science,pune,25000
STU_0027,INT_0181,5,0.46811081937488547,internship 181,company 181,data science,chennai,30000
STU_0028,INT_0161,1,0.9082398512734791,internship 161,company 161,ai/ml,mumbai,20000
STU_0028,INT_0149,2,0.6643113713966867,internship 149,company 149,software development,hyderabad,0
STU_0028,INT_0024,3,0.4386876981550295,internship 24,company 24,data science,hyderabad,30000
STU_0028,INT_0086,4,0.43318251766904114,internship 86,company 86,data science,delhi,30000
STU_0028,INT_0028,5,0.4327335657139495,internship 28,company 28,software development,pune,25000
STU_0029,INT_0064,1,0.9087475603855364,internship 64,company 64,software development,bangalore,10000
STU_0029,INT_0133,2,0.7426126276981491,internship 133,company 133,web development,bangalore,25000
STU_0029,INT_0114,3,0.7283988408800048,internship 114,company 114,ai/ml,pune,15000
STU_0029,INT_0024,4,0.7047719211365828,internship 24,company 24,data science,hyderabad,30000
STU_0029,INT_0048,5,0.6041923738022267,internship 48,company 48,mobile apps,bangalore,15000
STU_0030,INT_0017,1,0.7549047346829441,internship 17,company 17,web development,chennai,10000
STU_0030,INT_0144,2,0.5049255761673205,internship 144,company 144,web development,bangalore,30000
STU_0030,INT_0022,3,0.45447955995954703,internship 22,company 22,mobile apps,pune,10000
STU_0030,INT_0133,4,0.4509432613117763,internship 133,company 133,web development,bangalore,25000
